distance_m,az_deg,el_deg,mode,peak_offset_az_deg,peak_offset_el_deg,peak_offset_deg,peak_db,max_sidelobe_offset_az_deg,max_sidelobe_offset_el_deg,max_sidelobe_offset_deg,max_sidelobe_db,peak_direction_pass
2.0,-14.999999999999998,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,-14.727273,-11.454545,18.657416,-12.106716,1
2.0,-14.999999999999998,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,-14.727273,-11.454545,18.657416,-12.860607,1
2.0,-14.999999999999998,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,-14.727273,-13.090909,19.704427,-12.531529,1
2.0,-10.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,16.363636,11.454545,19.974364,-9.784134,1
2.0,-10.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,16.363636,11.454545,19.974364,-8.964511,1
2.0,-10.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,8.181818,0.000000,8.181818,-7.126284,1
2.0,-10.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,8.181818,-14.727273,16.847395,-12.160952,1
2.0,-10.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,-14.727273,-11.454545,18.657416,-12.908516,1
2.0,-10.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,-14.727273,-13.090909,19.704427,-12.565260,1
2.0,-5.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,16.363636,11.454545,19.974364,-9.918945,1
2.0,-5.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,16.363636,11.454545,19.974364,-9.714719,1
2.0,-5.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,8.181818,0.000000,8.181818,-7.226422,1
2.0,-5.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,8.181818,-14.727273,16.847395,-12.307767,1
2.0,-5.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,16.363636,-3.272727,16.687700,-12.457265,1
2.0,-5.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,16.363636,-3.272727,16.687700,-12.457265,1
2.0,0.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-16.363636,-11.454545,19.974364,-9.710139,1
2.0,0.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,14.727273,11.454545,18.657416,-10.126629,1
2.0,0.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,8.181818,0.000000,8.181818,-7.031600,1
2.0,0.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,8.181818,-14.727273,16.847395,-11.772399,1
2.0,0.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,-16.363636,3.272727,16.687700,-12.804778,1
2.0,0.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,-16.363636,3.272727,16.687700,-12.804778,1
2.0,5.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-16.363636,-11.454545,19.974364,-9.638219,1
2.0,5.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-16.363636,-11.454545,19.974364,-9.613446,1
2.0,5.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,-8.181818,0.000000,8.181818,-7.226422,1
2.0,5.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,14.727273,11.454545,18.657416,-11.098782,1
2.0,5.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,14.727273,11.454545,18.657416,-12.444447,1
2.0,5.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,-16.363636,3.272727,16.687700,-12.206391,1
